Area,Total,Mining and Logging,Construction,Manufacturing,"Trade, transportation and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Albany-Schenectady-Troy(1),467.6,–,17.4,26.4,73.8,8.2,26,56,97.4,40,19,103.4
Binghamton(1),102.7,–,3.7,11,18.5,1.5,3.6,8.3,17.1,10.4,5.5,23.1
Buffalo-Cheektowaga-Niagara Falls(1),560.7,–,17.9,52.5,99,6.9,37.3,70.2,100.7,57.9,25.8,92.5
Elmira(1),36.1,–,1.3,5.3,7.6,0.3,1.3,1.8,7.3,3.4,1.7,6.1
Glens Falls(1),53.8,–,2.4,5.8,9.4,0.9,1.9,5.5,8.6,6.2,2.3,10.8
Ithaca(1),66.4,–,1.1,3.3,6.4,0.5,1.6,3.3,34.9,4.8,1.7,8.8
Kingston(1),60.9,–,2.7,3.4,12,0.7,2.4,4.4,10.8,7.3,3,14.2
New York-Newark-Jersey City(1),9623.6,–,381.7,360.9,1735.9,281.9,773.4,1531.3,1972,862.2,421.1,1303.2
Rochester,532,0.6,18.5,57.5,81.4,7.9,21.7,67.7,132.9,41.9,20.8,81.1
Syracuse(1),313.5,–,10.3,25.4,61.4,4.5,14.5,33.9,64.2,28.5,12.2,58.6
Utica-Rome(1),124.2,–,2.5,11.2,20.9,1.7,7,8.1,27.4,9.9,4.9,30.6
Watertown-Fort Drum(1),40.9,–,1.3,2,8.4,0.6,1.4,2.4,6.7,4.2,2,11.9
,,,,,,,,,,,,
North Carolina,4428,5.7,208.7,468.7,825.7,81.8,234.8,624.6,603.5,474.3,150.2,750
Asheville(1),190.8,–,8.6,20.9,35.7,2,6.4,17.6,38.1,27.1,8.1,26.3
Burlington(1),61,–,2.6,9.2,12.9,0.4,2,4.9,12.1,7.7,2.1,7.1
Charlotte-Concord-Gastonia(1),1190.1,–,61.3,105.2,241.5,28.5,93,200.3,123.6,133.2,40.8,162.7
Durham-Chapel Hill(1),310.9,–,8,27.9,37.1,4.5,15.1,42.9,66.6,27.5,11.1,70.2
Fayetteville(1),129,–,4.7,7.8,23,1.2,3.8,12.2,15.7,15.5,4.5,40.6
Goldsboro(2),41.4,–,–,–,–,–,–,–,–,–,–,9.4
Greensboro-High Point(1),359.6,–,15,56,74.6,4.7,17.4,50.6,49.5,34.2,12.1,45.5
Greenville(1),79.8,–,3.1,6.4,11.5,0.7,3,6.8,9.3,9.4,2.2,27.4
Hickory-Lenoir-Morganton(1),153.9,–,4.1,41.7,30.3,0.8,3.1,14.8,18.9,13,4.4,22.8
Jacksonville(2),49.5,–,–,–,–,–,–,–,–,–,–,14.7
New Bern(2),44.3,–,–,–,–,–,–,–,–,–,–,14
Raleigh(1),621.5,–,39.2,35.1,111,22.5,32.5,116.1,74.4,67.9,23.6,99.2
Rocky Mount(1),55.2,–,2.4,9.5,11.7,–,–,4.8,6.8,5.4,–,10.8
Wilmington(1),124.2,–,7.1,5.5,24.5,3,5.9,15.7,15.2,18,5.1,24.2
Winston-Salem(1),264,–,10.5,32.6,47.7,1.7,13.3,34,54.9,28.7,8.4,32.2
,,,,,,,,,,,,
North Dakota,418.2,17.8,20.1,24.6,93.2,6.4,24.2,33.3,63.5,36.8,16.3,82
Bismarck(1),71.4,–,4,1.5,14.6,0.9,3.4,7.5,13.8,6.8,3.2,15.7
Fargo(1),140.1,–,7.5,9.8,30.1,3.1,11.2,15,24.8,13.2,5.5,19.9
Grand Forks(1),56.1,–,2.5,4.3,11.7,0.6,1.9,3.3,9.8,5.5,2,14.5
,,,,,,,,,,,,
Ohio,5483.8,11.3,197.9,693.5,1014.2,70,309.1,705.9,940.1,531.5,218.4,791.9
Akron(1),338.9,–,12.5,39.1,67.4,4.6,15.7,51.2,56.2,31.9,13.2,47.1
Canton-Massillon(1),171.2,–,8.1,25.6,31.6,1.6,7.7,15.1,34.4,18.5,8.3,20.3
Cincinnati(1),1080,–,46.9,116.8,216.4,13.3,74.3,161,165,111,43.5,131.8
Cleveland-Elyria(1),1041.3,–,32.3,123.8,182.2,13.8,65.7,150.5,203.2,94.7,38.6,136.5
Columbus(1),1076,–,37.1,73,202.9,17.1,86.9,175.1,162.4,102.2,41.5,177.8
Dayton(1),390.4,–,12,43.1,66.4,8.1,18.1,50.6,76,39.7,14.4,62
Lima(1),52.4,–,1.7,8.9,9.6,–,–,4.4,12.2,5.2,–,6.1
Mansfield(1),52,–,2.2,10,9.7,–,1.4,5,7.9,5,2,8.1
Springfield(1),49.7,–,1,7.1,9.8,–,4.1,4.6,8.8,4.9,2,7.2
Toledo(1),303.8,–,12.3,44,57.9,2.8,10.7,35.5,51.2,31.2,12.6,45.6
Weirton-Steubenville(3)(1),40.3,–,1.7,5.2,8.5,–,–,1.8,9,4.2,–,5.7
Youngstown-Warren-Boardman(1),215.3,–,7.9,27,45.3,1.9,7,19.2,43.1,24.1,9.6,30.2
,,,,,,,,,,,,
Oklahoma,1673.2,50.3,78,129.4,301.4,19.8,79.5,184.3,237.1,167.9,70.1,355.4
Enid(2),25,–,–,–,–,–,–,–,–,–,–,3.8
Lawton(1),45.4,–,1.7,3.6,7.1,0.5,2.3,4.7,4.1,4.8,1.4,15.2
Oklahoma City,640.5,19.9,30,33.5,109.1,7.5,33.2,82,92.6,73.1,28.3,131.3
Tulsa,450.6,6.5,23.8,47.3,88.3,7.1,23,58.3,71.6,44.3,20,60.4
,,,,,,,,,,,,
Oregon,1884,6.8,97.7,189.1,348.5,33.8,100.8,240.1,298.5,204.3,65.7,298.7
Albany,45.5,0.4,2.9,8.2,9.8,0.5,1.6,3,7,3.7,1.5,6.9
Bend-Redmond(1),81.4,–,6.6,5.6,15.1,1.7,4.7,9.8,13.5,11.9,2.8,9.7
Corvallis(1),43.5,–,1.4,2.8,4.6,0.6,1.5,4.7,7.2,4.2,1.4,15.1
Eugene,161.1,0.9,6.7,13.8,30.4,2.7,7.9,18.3,28.2,17,5.2,30
Grants Pass,26.1,0.1,1,2.9,5.3,0.2,1.4,2.2,5.7,3,1,3.3
Medford,87.5,0.4,4.4,7.9,19.5,1.3,4.2,7.5,16.9,11.2,2.8,11.4
Portland-Vancouver-Hillsboro,1175.9,1.3,66.3,123.9,214.3,25.2,70.7,175.9,184.3,119.3,42.8,151.9
Salem,164.5,0.6,10.1,13,28,1.2,7,14.2,28.1,15.2,5.5,41.6
,,,,,,,,,,,,
Pennsylvania,5925.1,27.2,232.3,560.7,1116.1,80.5,322,791.8,1283.2,539,259.6,712.7
Allentown-Bethlehem-Easton(1),366.7,–,12.5,36.4,84.4,5.3,14.2,47.3,77.7,34.6,14.3,40
Altoona(1),60.2,–,2.8,7.2,14.4,0.9,1.4,5.3,12.5,5.4,2.6,7.7
Bloomsburg-Berwick(1),42.9,–,0.9,5.3,6.5,–,–,4.2,12,3.6,–,6.8
Chambersburg-Waynesboro(1),61,–,2.1,8.8,15.5,–,–,5.8,10.5,5.8,–,7.7
East Stroudsburg(1),58.2,–,1.7,4.9,12.3,–,–,3.9,7.8,12,–,11.6
Erie(1),126.4,–,3.7,18.8,20.9,1,6.3,10,29.4,13.8,6,16.5
Gettysburg(1),36,–,1.9,7.4,5.2,–,–,–,7.7,4.8,–,4.2
Harrisburg-Carlisle(1),337.3,–,11.2,21.6,71.7,3.6,21.6,46.7,57.9,29.4,14.7,58.9
Johnstown(1),55.2,–,1.7,3.9,10.6,0.8,2.6,4.8,16,4.4,2.7,7.7
Lancaster(1),252.7,–,16.8,37.3,57.6,3,8.3,24.9,47.8,21.6,14.3,21.1
Lebanon(2),51.9,–,–,9,11.2,–,–,–,9.2,–,–,8.5
Philadelphia-Camden-Wilmington(1),2892.9,–,109.7,180.1,520.9,44.8,213.9,457.9,657.1,249.8,118.2,340.5
Pittsburgh,1165.8,10.4,52.9,85.6,208.7,18.4,72.4,179.4,254.3,115.9,51.2,116.6
Reading(1),177.7,–,7.4,31.5,33,1.1,5.9,24.2,30.3,14.5,7.8,22
Scranton--Wilkes-Barre--Hazleton(1),261.7,–,9.7,27.8,63.5,3,12.5,30.8,54.8,22.1,8.4,29.1
State College(2),81.5,–,–,4,9.8,–,–,6.7,10,7.5,–,34.7
Williamsport(2),52.6,–,–,7.7,9.8,–,–,–,9.9,4.3,–,7.6
York-Hanover(1),184.6,–,10.6,30.9,38.4,1.6,5.2,22.5,29.1,15.6,10.4,20.3
,,,,,,,,,,,,
Rhode Island,487.4,0.2,16.6,41.2,74.9,5.9,36.4,66.7,108.8,52.6,22.9,61.2
Providence-Warwick,581.1,0.2,21.1,52,100,7.1,38.9,73,127.8,62,27.2,71.8
,,,,,,,,,,,,
South Carolina,2094.9,4.3,101.8,244.6,397,27.6,100.9,275.6,250.5,245.2,77.8,369.6
Charleston-North Charleston(1),352.8,–,21.3,27.1,63.3,6.3,14.9,53.7,41.4,45.7,13.7,65.4
Columbia(1),394.7,–,18.2,29,74.2,5.3,31.6,47,49.5,38.1,16.1,85.7
Florence(2),88.2,–,–,–,18.2,–,–,–,–,–,–,16.9
Greenville-Anderson-Mauldin(1),418.1,–,18.1,58.5,75.4,7.2,18.2,71.1,50,43.7,14.2,61.7
Hilton Head Island-Bluffton-Beaufort(2),77.7,–,–,–,–,–,–,–,–,–,–,12
Myrtle Beach-Conway-North Myrtle Beach(1),160.3,–,10,4.8,36,2.2,8.3,14.6,17.8,37.1,6.1,23.4
Spartanburg(1),155.5,–,7.7,32.1,33.5,0.7,4.7,19,15,13.1,5.3,24.4
Sumter(2),39.6,–,–,6.8,–,–,–,–,–,–,–,6.7
,,,,,,,,,,,,
South Dakota,428.1,0.8,19.9,43.8,85.3,5.7,29.4,31.6,72.2,42.6,16.5,80.3
Rapid City(1),66.7,–,4.5,2.8,13.7,0.8,3.9,5.3,12.1,8.6,3.3,11.7
Sioux Falls(1),153.1,–,7.5,14.1,31.3,2.6,15.7,14.6,32.1,14.8,5.9,14.5
,,,,,,,,,,,,
Tennessee,3021.1,4,118.3,348.8,618.9,45.4,160.3,405.1,439.5,327.5,114.3,439
Chattanooga(1),259.7,–,10.2,33.6,52.1,3.3,16.7,31.1,34.3,28.7,11.8,37.9
Clarksville(1),90.4,–,3,12.3,16.9,1.2,3.3,8.2,12,11.2,3.1,19.2
Cleveland(1),46.3,–,1.8,9.5,8.8,0.3,1.4,6.1,5.5,4.7,2.3,5.9
Jackson(1),68.6,–,2.7,10.3,12.9,0.5,2.1,6.9,11.1,6.1,1.8,14.2
Johnson City(1),79.4,–,2.2,7.7,13.4,1.3,4.3,8.5,14.1,9.3,2.4,16.2
Kingsport-Bristol-Bristol(1),121.5,–,6.9,20.7,24.8,1.2,3.7,10,18.6,13,6,16.6
Knoxville(1),396.5,–,18.9,39.7,77.2,5.7,19.3,64.8,52.8,42.4,14.9,60.8
Memphis(1),645.3,–,22.4,45.3,174.8,5.5,29.2,92.2,95.4,68.8,26,85.7
Morristown(1),46.1,–,1.9,11.5,10,0.3,0.9,3.9,5.9,3.8,1.3,6.6
Nashville-Davidson--Murfreesboro--Franklin(1),985.7,–,40.9,83.1,187.9,22.8,66.5,162.1,153.3,109.8,41,118.3
,,,,,,,,,,,,
Texas,12371.7,240.6,735.6,860.1,2468.3,198.6,765.5,1702.8,1683.1,1326,427.5,1963.6
Abilene(1),69.5,–,4.5,3.1,13.6,0.9,4,5.4,14.5,8.1,2.5,12.9
Amarillo(1),120.3,–,7.1,13.6,25.7,1.3,6.7,9.4,16.6,13.1,4.9,21.9
Austin-Round Rock(1),1054.9,–,63.3,57.6,182.5,30.6,61.2,182.6,123.5,127.7,45.3,180.6
Beaumont-Port Arthur(1),163.1,–,19.4,21.6,31.8,1.1,5.7,14.7,21.1,16.3,6.8,24.6
Brownsville-Harlingen(1),140.9,–,2.9,5.2,25.4,0.9,5.1,12.4,40.7,15.1,2.9,30.3
College Station-Bryan(1),122.1,–,7.7,5.7,16.3,1.3,3.9,9.5,11.4,16.4,3.5,46.4
Corpus Christi(1),191.2,–,26.9,8.1,32.5,1.7,7.7,18.3,31,23.7,6.4,34.9
Dallas-Fort Worth-Arlington(1),3639.1,–,215.8,276.4,768.9,83.5,297,599.3,450.7,380.4,123.9,443.2
El Paso(1),314.8,–,16.1,16.2,67.1,5,12.8,35,45.8,34.7,9.1,73
Houston-The Woodlands-Sugar Land,3058.5,78.7,223.5,222.7,622.3,31.6,161.4,497.1,385.3,315.1,108.1,412.7
Killeen-Temple(1),144.1,–,6.7,7.7,27.7,1.1,7.1,10.5,24.3,15.1,5.2,38.7
Laredo(1),104.6,–,4.1,0.7,30.8,0.8,3.9,10.1,16.6,11.7,2.4,23.5
Longview(1),96.5,–,14.8,9.6,18.6,1.2,4.2,8.7,15.6,9,2.8,12
Lubbock(1),149.5,–,7.9,4.8,30.6,3,8.1,12.6,23,19.8,6,33.7
McAllen-Edinburg-Mission(1),261.4,–,8.3,7.3,53.2,2.4,8.7,17.7,72.1,25.9,5.5,60.3
Midland(1),97.4,–,30.5,3.3,19,0.9,3.9,9.3,7.5,9.6,3.4,10
Odessa(1),75.8,–,18.4,4.3,16.6,0.6,3.3,4.3,5.5,8.5,3.6,10.7
San Angelo(1),49.5,–,3.9,3.2,9.6,0.7,2.7,3.9,8.4,5.9,1.7,9.5
San Antonio-New Braunfels,1050.5,8.5,54.8,49.1,183.6,20.2,88.7,136.3,162.7,134.5,37.9,174.2
Sherman-Denison(1),47.3,–,3.1,5.8,8.3,0.3,3.2,3.2,10.1,5.1,1.1,7.1
Texarkana(1),60,–,2.9,5.4,13.2,0.4,2.2,4.3,9.3,6.8,2.2,13.3
Tyler(1),105.4,–,6.2,5.3,22.3,1.3,5.9,10.1,24.4,11.3,3.6,15
Victoria(1),40.7,–,4.4,1.9,10,0.4,1.9,2.5,6.3,4.2,1.6,7.5
Waco(1),120.7,–,7.2,16.5,20.7,1,7.8,11.3,20.7,12.2,3.8,19.5
Wichita Falls(1),59,–,2.8,4.9,11.4,0.6,2.6,4.8,10.5,6.6,2.3,12.5
,,,,,,,,,,,,
Utah,1487.8,8.2,96.2,131.6,282,38.9,84.3,204.3,205.5,148.6,39.1,249.1
Logan(1),62,–,3,11.8,9.4,0.6,1.6,6.8,7.8,5.1,1.1,14.8
Ogden-Clearfield(1),254.5,–,17.3,33,45.8,2.1,9.9,29.6,32.5,23.9,6.7,53.7
Provo-Orem(1),254.4,–,24.7,19.3,43.1,12.2,8.5,33.2,55.2,19.9,5.4,32.9
St. George(1),64.6,–,7.1,3.4,14.8,0.9,2.6,5.2,11.2,8.6,1.8,9
Salt Lake City(1),723.5,–,40.5,58.8,145,21.1,57.2,121.6,84,64.7,20.4,110.2
,,,,,,,,,,,,
Vermont,314.7,0.7,13.3,28.5,54.2,4.3,12.2,27.1,65.9,40.4,10.1,58
Burlington-South Burlington(1),123,–,5.3,12.4,21.7,2.2,4.6,13.7,22.7,12.5,4.1,23.8
,,,,,,,,,,,,
Virginia,3945.5,8.2,193.5,238.6,654.7,66.8,204.2,730.3,537,383.1,204.6,724.5
Blacksburg-Christiansburg-Radford(2),76.8,–,–,–,–,–,–,–,–,–,–,25.1
Charlottesville(1),119.2,–,5.8,3.9,15.5,2.1,4.6,15.7,14.5,13.7,5.8,37.6
Harrisonburg(2),68.6,–,–,–,13,–,–,–,–,–,–,13.3
Lynchburg(1),104.5,–,5.8,15.1,19.2,0.9,4.8,11.4,19,9.9,4.7,13.7
Richmond(1),668.2,–,38.8,32.4,121.7,7.6,51.7,113.5,96,61.2,32.5,112.8
Roanoke(1),158.8,–,8.2,15.3,33.5,1.4,8.1,21,27.2,13.9,7.7,22.5
Staunton-Waynesboro(2),49.7,–,–,–,–,–,–,–,–,–,–,8.8
Virginia Beach-Norfolk-Newport News(1),769.6,–,37.3,53.5,132.4,11,36.9,107.2,109.4,85.8,35.9,160.2
Winchester(2),64.2,–,–,–,13.3,–,–,–,–,–,–,10.3
,,,,,,,,,,,,
Washington,3351.3,5.9,198.6,281.4,631.1,128.6,156.9,419.3,489.4,323.4,120.1,596.6
Bellingham(1),93.8,–,8.3,10,16.3,–,3.5,8.3,–,9.6,–,18.8
Bremerton-Silverdale(1),91.6,–,4.8,2.8,13.4,–,–,7.7,–,9.1,–,33.4
Kennewick-Richland(1),112.7,–,8.4,7.3,19.5,0.8,4.1,21.4,15.8,11.1,3.6,20.7
Longview(1),40.2,–,3.1,6.3,7.9,–,–,–,7.2,3.7,–,6.8
Mount Vernon-Anacortes(1),49.3,–,4.1,5.7,9.7,–,–,–,–,5.1,–,11.9
Olympia-Tumwater(1),118.1,–,5.9,3.6,18.4,1.4,4,11.9,17.8,10.3,4.8,40
Seattle-Tacoma-Bellevue,2022.6,1.1,123.9,174.3,390.1,113.4,100.6,289.9,274.2,199.7,72.6,282.8
Spokane-Spokane Valley(1),241.6,–,11,17,46,3,14.5,25.9,50.9,20.6,9.6,43.1
Walla Walla(1),28.8,–,1,3.8,3.5,0.3,0.9,1.1,8.4,2.4,0.7,6.7
Wenatchee(1),43.8,–,2.6,2.3,9.9,–,–,–,7.6,6.5,–,9.5
Yakima(1),88,–,3.8,9.6,18.6,–,–,6.2,17.9,7.6,–,19.3
,,,,,,,,,,,,
West Virginia,739.9,22.7,29.4,46.9,130.6,8.2,26.5,65.1,131.7,71,52.7,155.1
Beckley(2),44.1,–,–,–,–,–,–,–,–,–,–,8.9
Charleston(1),115.6,–,6.7,3.6,18.7,1.6,6.6,13.2,21.7,10.1,9.2,24.2
Huntington-Ashland(1),135.7,–,6.8,10.5,28.7,1.2,4.8,12.1,27.7,13.5,6.8,23.6
Morgantown(2),72.4,–,–,4.4,–,–,–,7.1,15.5,7.3,–,18.5
Parkersburg-Vienna(2),39.1,–,–,2.5,–,–,–,–,6.7,–,–,7.6
Wheeling(2),65.3,–,–,2.9,–,–,–,–,12.2,–,–,9.5
,,,,,,,,,,,,
Wisconsin,2912.3,4.2,105,472.7,530.2,46.7,150.3,316.9,454.5,259,152,420.8
Appleton(1),124.1,–,7.9,23.1,23.5,1.6,7.1,13.9,15.2,11.4,7.5,12.9
Eau Claire(1),85.1,–,3.4,10.5,16.4,0.8,3.9,9,16.3,8.2,4.3,12.3
Fond du Lac(1),47.4,–,2.7,10.9,8.9,0.8,1.8,2.8,7.4,3.9,2.5,5.7
Green Bay(1),175.4,–,7.3,30.7,32.9,1.6,12,18.9,26.5,15.2,8.7,21.6
Janesville-Beloit(1),67.8,–,2.8,10.5,16.1,1.6,1.9,5.8,10.9,6.2,3.3,8.7
La Crosse-Onalaska(1),79.1,–,2.5,8.3,16,1.1,4.5,5.8,17.4,7.8,4.5,11.2
Madison(1),400,–,16.3,34.3,63,16.9,23.1,50.5,48.5,38,20.2,89.2
Milwaukee-Waukesha-West Allis,861,0.4,28.1,119.9,142.8,13.1,50.2,125.1,171.6,74.3,46.8,88.7
Oshkosh-Neenah(1),97.5,–,4.9,22.9,15.3,1.5,4.2,12.7,11.3,6.9,5.3,12.5
Racine(1),76.8,–,2.5,18.2,14.7,0.5,2.3,6.6,11.5,7.4,3.8,9.3
Sheboygan(1),61.8,–,2.1,21.2,10,0.3,3,3.9,7.6,4.8,2.8,6.1
Wausau(1),72.9,–,2.2,16.5,15,0.4,5.4,6.9,9.8,5.9,3.1,7.7
,,,,,,,,,,,,
Wyoming,277.9,20.7,17.3,9.5,52.2,3.7,10.9,18.3,28.4,33.1,14.1,69.7
Casper,38,2.3,2.5,1.5,8.5,0.5,2,2.7,6.1,4.5,1.7,5.7
Cheyenne(1),45.9,–,3.4,1.3,10.2,1.1,2.1,3.6,4.6,4.3,1.6,13.7
,,,,,,,,,,,,
Puerto Rico,845.1,0.5,19.4,70.5,162.6,17.2,41.6,113.5,115.3,77.7,17.2,209.6
Aguadilla-Isabela(2),50.9,–,–,5.8,9.4,–,1.5,–,–,4.8,–,15.5
Arecibo(2),32.8,–,–,–,–,–,–,–,–,–,–,10.2
Guayama(2),14,–,–,–,2.4,–,–,–,–,–,–,5
Mayag�ez(2),30.1,–,–,1.6,5.9,0.4,0.9,3.4,5.9,3.1,–,7.5
Ponce(1),66.9,–,1.6,7.6,12.7,0.7,1.9,–,11,6.1,–,18.9
San Germ�n(2),18.4,–,–,2.8,3.2,–,–,–,–,–,–,4.5
San Juan-Carolina-Caguas(1),617.6,–,15.8,43.1,119.9,14.8,35.5,93.9,81.1,58.4,13.6,141.5
,,,,,,,,,,,,
Virgin Islands(1),35.6,–,2,0.6,7.3,0.6,2.1,3.1,2.4,6.2,0.9,10.4
