Area,Total,Mining and Logging,Construction,Manufacturing,"Trade, transportation and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Visalia-Porterville(1),126.8,–,5.6,12.3,27.2,0.9,4.1,13.5,16.1,11.7,3.4,32
Yuba City(1),43.3,–,2.3,2.2,9.3,0.3,1.4,3,8.3,4.3,1.2,11
,,,,,,,,,,,,
Colorado,2683.1,27.8,164.7,145.4,463.2,74.1,168.3,412.9,338.6,338.5,106.8,442.8
Boulder(1),190.8,–,5.8,18.6,25.9,8.2,7,35.2,26,20.3,6.1,37.7
Colorado Springs(1),288.5,–,17.1,11.7,43.8,5.6,18.2,44.2,39.6,37.5,17.4,53.4
Denver-Aurora-Lakewood(1),1469.1,–,103.5,70.3,269.2,49.7,109.1,262,188.5,164.1,55.7,197
Fort Collins(1),165.7,–,10.9,13.9,27,2.9,6.9,19.7,17.7,20.5,6.1,40.1
Grand Junction(1),62.4,–,6.3,3,13,0.6,3.2,5,11,7.4,2.5,10.4
Greeley(1),107.6,–,18.9,13.4,18.7,0.7,4.6,10.5,10.3,8.9,3.6,18
Pueblo(1),61.6,–,3.4,4.2,11.4,0.6,1.8,6,13,6.4,2.1,12.7
,,,,,,,,,,,,
Connecticut,1666.1,0.5,51.8,161.8,294.7,30.5,127.8,214.8,340.2,145.9,64.4,233.7
Bridgeport-Stamford-Norwalk(1),397.2,–,10.5,29.3,69.4,12,39.9,62.5,73.8,39.5,17.1,43.2
Danbury(2),77.8,–,–,–,17.6,–,–,9.8,–,7.4,–,10.6
Hartford-West Hartford-East Hartford(1),571.1,–,17.4,58.9,89.8,10.3,56.4,73.7,109.6,46.9,21.9,86.2
New Haven(1),281,–,9.7,23.8,50.9,3.5,12.4,29.7,82.5,22.2,10.7,35.6
Norwich-New London-Westerly(1),128.3,–,3.7,18.4,22.8,1.3,3,8.9,20.7,15.2,3.5,30.8
Waterbury(1),65.5,–,2.5,7.6,12.2,0.6,2,5.7,17.2,5.2,2.5,10
,,,,,,,,,,,,
Delaware(1),447.5,–,21.8,25.8,79.9,4.3,47.6,61.4,78,44.2,18.5,66
Dover(1),68.6,–,2.4,5,13.3,0.4,1.6,5.3,11.1,7.3,2.5,19.7
Salisbury(3)(1),149.8,–,8.6,13.9,30.3,1.2,6.1,13.4,26.2,20.2,5.4,24.5
,,,,,,,,,,,,
District of Columbia(1),792.2,–,15.4,1.3,34,18.6,30.4,167,137,75.9,75.8,236.8
Washington-Arlington-Alexandria(1),3278.1,–,158.7,54.2,402.1,74.5,158.1,752.4,444.5,322.2,209,702.4
,,,,,,,,,,,,
Florida,8716.9,5.6,527.1,370.8,1750.4,137.8,570,1350,1294.6,1226.9,350.6,1133.1
Cape Coral-Fort Myers(1),268.8,–,26.7,5.9,55.5,2.8,13.8,37.4,29.9,41.6,11.5,43.7
Crestview-Fort Walton Beach-Destin(1),114.6,–,7,3.1,20.4,1.1,6.8,16.4,12.2,22.1,4.9,20.6
Deltona-Daytona Beach-Ormond Beach(1),203.9,–,13.8,11.6,39,2.4,8.5,23.6,40.4,32.3,9.1,23.2
Gainesville(1),145,–,5.5,4.4,20.7,1.5,7.1,14.4,25.8,15.6,4.5,45.5
Homosassa Springs(2),33.1,–,–,–,–,–,–,–,–,–,–,4.5
Jacksonville,699.1,0.4,45,30.9,143.2,9.3,69.1,104.7,107.1,86,25.7,77.7
Lakeland-Winter Haven(1),225.8,–,14.1,17.3,58,1.8,12.3,30.3,33,24.2,5.9,28.9
Miami-Fort Lauderdale-West Palm Beach,2662.7,0.7,136.1,92.9,600.8,50.6,178.3,443.5,393.1,329,123.8,313.9
Naples-Immokalee-Marco Island(1),145,–,15.8,3.8,26.3,1.5,8.3,16.2,21.6,29.3,8.3,13.9
North Port-Sarasota-Bradenton(1),307.8,–,24.2,17.1,58.7,3.4,15.3,48.6,52.3,47,13.3,27.9
Ocala(1),103,–,7.1,8.5,23.5,0.8,3.8,9,19.2,13,3,15.1
Orlando-Kissimmee-Sanford,1281.8,0.3,77.8,46.6,235.2,24.2,77,226.2,155.8,265.2,45.5,128
Palm Bay-Melbourne-Titusville(1),213.6,–,13.9,24.5,36.6,2.6,8.1,30,34.4,26.5,8.7,28.3
Panama City(1),83.9,–,5.4,3,16.5,0.7,4.5,11.6,11.8,13.1,2.8,14.5
Pensacola-Ferry Pass-Brent(1),177.2,–,12,6,31.8,2,13.4,22.2,30.5,24.5,6.1,28.7
Port St. Lucie(1),147.2,–,10,6.8,31.5,1.3,5.6,17.2,27.2,19.9,8,19.7
Punta Gorda(1),48.9,–,3.9,0.8,11.4,0.5,2.1,4.5,9.1,8.3,2.1,6.2
Sebastian-Vero Beach(1),52.4,–,3.9,2,10.3,0.6,2.7,5.3,10.3,9.1,2.8,5.4
Sebring(2),25.7,–,–,–,–,–,–,–,–,–,–,4.4
Tallahassee(1),183.3,–,7.9,3.2,23.9,3.6,8.1,21,23.4,20.3,9,62.9
Tampa-St. Petersburg-Clearwater,1346.2,0.2,73.8,68,248.3,24.4,114.6,240.8,212.4,158.6,46,159.1
The Villages(2),28.7,–,–,–,–,–,–,–,–,–,–,5.3
,,,,,,,,,,,,
Georgia,4483.8,9.9,189,401.7,944,111.6,240.7,672.2,584,475,159.9,695.8
Albany(2),63.2,–,–,4.3,12.6,–,–,–,–,–,–,13
Athens-Clarke County(2),98.5,–,–,–,16.6,–,–,8.9,–,10.8,–,30.3
Atlanta-Sandy Springs-Roswell,2734.4,1.6,124.1,168.5,609.4,91.9,168.8,494.8,349.8,289.1,99.6,336.8
Augusta-Richmond County(1),241,–,12.1,21.9,40.9,2.5,6.3,41.5,34.1,25.6,8.1,48
Brunswick(2),43.3,–,–,–,9.4,–,–,–,–,–,–,8.6
Columbus(1),121.1,–,4.5,10.9,18.4,1.3,13.1,13.5,16,14.4,4.3,24.7
Dalton(2),67,–,–,24.7,13.7,–,–,6.5,–,–,–,6.7
Gainesville(2),91.7,–,–,–,16.7,–,–,–,–,–,–,10.8
Hinesville(2),20.5,–,–,–,–,–,–,–,–,–,–,7.8
Macon-Bibb County(2),102.4,–,–,–,20.5,–,10.1,11.9,21,10.2,–,14.4
Rome(2),41.2,–,–,6.5,7.9,–,–,–,10.3,–,–,5.8
Savannah(1),177.6,–,7.5,17.4,40.7,1.9,6.1,20,26.5,26.1,7.2,24.2
Valdosta(2),56.3,–,–,–,12,–,–,–,–,–,–,13.3
Warner Robins(2),74,–,–,–,10.7,–,–,–,–,–,–,27.3
,,,,,,,,,,,,
Hawaii(1),662.4,–,36.6,14.1,120.4,9,28.3,84.1,86.5,127,28.1,128.3
Kahului-Wailuku-Lahaina(1),77.3,–,3.8,1,15.5,0.6,3,7.5,8.8,25.7,3,8.4
Urban Honolulu(1),484.9,–,27.2,11.4,84.4,7.6,21.6,66.8,66,76.4,21.7,101.8
,,,,,,,,,,,,
Idaho,720.6,3.3,44.3,68,138.9,9.2,36.3,88.8,105.8,74.1,25,126.9
Boise City(1),319.6,–,21.9,28.4,61.2,4.7,18.5,45.5,47.7,31.9,11.3,48.5
Coeur d'Alene,62.1,0.2,5,4.5,12.1,0.6,3.7,7.1,8.2,7.1,2.1,11.5
Idaho Falls(1),65.9,–,3.7,4.2,13.8,0.9,2.5,14.2,10,6.2,2,8.4
Lewiston,29.2,0.2,1.3,4.6,5.2,0.4,1.6,1.4,5.4,2.7,0.9,5.5
Pocatello(1),37.2,–,1.6,2.2,6.7,0.3,2.1,3.9,6.3,4.1,1.1,8.9
,,,,,,,,,,,,
Illinois,5991.3,7.3,196.9,583.1,1192.6,93.5,396.3,915.2,927.8,583,248.7,846.9
Bloomington(1),93.6,–,2.5,3.2,14.3,0.5,20.2,9.5,11.1,11.9,3.6,16.8
Carbondale-Marion(2),56.9,–,–,–,–,–,–,–,–,–,–,16.7
Champaign-Urbana(1),111.4,–,2.9,7.8,16.1,2.4,4.5,7.9,15.6,11.7,3.1,39.4
Chicago-Naperville-Elgin,4629.3,1.5,156.4,417.7,938.2,75.8,307,802.9,729.2,451.7,193.1,555.8
Danville(1),27.8,–,0.6,5,7.1,0.1,1,1.9,2.8,2.2,1.1,6
Davenport-Moline-Rock Island(3)(1),183.2,–,8.6,23.4,36.6,2.1,7.4,25.9,26.9,19,7.2,26.1
Decatur(1),50.9,–,2.8,10.7,10.6,0.4,1.9,2.9,9,5.1,2.1,5.4
Kankakee(1),47,–,1.1,6.8,9.6,0.4,1.9,4.9,9.9,3.9,1.7,6.8
Peoria(1),167.7,–,6.2,22.6,31.9,2,7.3,22,30.1,17,7.5,21.1
Rockford(1),149.7,–,4.5,32,28.2,1.5,5.1,15.8,23.9,14.6,8.4,15.7
Springfield(1),110.5,–,3.6,3,16.5,1.5,6.2,13.1,20.5,10.2,6.1,29.8
,,,,,,,,,,,,
Indiana,3082.1,5.8,128.8,531.8,589.6,29.7,134.9,331.1,476.7,292.4,123.5,437.8
Bloomington(1),75.9,–,2.4,8.9,9.9,1.1,2.8,4.7,10.1,8.8,2.3,24.9
Columbus(1),52.9,–,1.6,19.5,8.3,0.3,1.5,5.3,4.3,4,1.2,6.9
Elkhart-Goshen(1),141.4,–,3.2,71.5,20.1,0.4,2.8,10.6,12.2,7.7,4.2,8.7
Evansville(1),160,–,10,23,31.3,1.5,5.2,18.8,28.9,16.3,7,18
Fort Wayne(1),221.3,–,9.7,35.3,43.3,2.7,11.7,21.5,42.7,20.3,11.6,22.5
Indianapolis-Carmel-Anderson,1054.5,0.7,49.1,91.5,220.3,14.4,67.6,170.8,160.8,101.6,44.4,133.3
Kokomo(1),42.7,–,1,13.3,6.5,0.2,1.1,–,–,4.1,1.8,5
Lafayette-West Lafayette(1),104.9,–,3.1,18.8,14.5,0.7,3.6,7.7,12.3,9.9,3.8,30.5
Michigan City-La Porte(1),39.9,–,1.7,7.5,8.1,0.2,1.2,2.8,5.6,5,1.5,6.3
Muncie(1),52.2,–,1.3,4.3,8.5,0.3,2.4,–,9,4.9,1.8,14.2
South Bend-Mishawaka(1),143.1,–,5.2,18.1,24.9,1.4,6,13.4,37.3,14.6,6.2,16
Terre Haute(1),69.8,–,3.5,10.5,12.4,0.5,2.4,4.8,12.2,7.5,2.8,13.2
,,,,,,,,,,,,
Iowa,1559.5,2,60.8,222.5,310,21.6,110.3,139.4,235.3,137.6,56,264
Ames(2),55.2,–,–,–,–,–,–,–,–,–,–,23.4
Cedar Rapids(1),143.1,–,6.9,19.7,32.1,3.9,10.6,14.9,21.1,11.8,5.1,17
Des Moines-West Des Moines(1),360.1,–,17.8,20.5,68.9,6.4,55.8,47.5,51.8,34.2,12.6,44.6
Dubuque(2),59.1,–,–,–,12.1,–,–,–,–,–,–,4.9
Iowa City(2),102.1,–,–,–,15.7,–,–,6.7,–,10.4,–,39.9
Sioux City(2),86.1,–,–,16.9,18.8,–,–,7.8,–,7.9,–,10.9
Waterloo-Cedar Falls(2),90.1,–,–,16.4,16.6,–,4.8,7.4,14,7.3,–,15.1
,,,,,,,,,,,,
Kansas,1404,6.9,54.2,162.2,265.5,19,77.1,178.1,198.7,127.3,50.4,264.6
Lawrence(2),53.9,–,–,–,8.2,–,–,5.3,5.7,7.4,–,16.8
Manhattan(2),43.3,–,–,–,–,–,–,–,–,–,–,15.1
Topeka(1),110.7,–,5,7.8,17.2,1.3,7.5,13.6,18.4,8.7,4.8,26.4
Wichita(1),292.3,–,14.9,51.4,49,4.2,11.4,31.7,43.3,32.7,10.4,43.3
,,,,,,,,,,,,
Kentucky,1903.3,10.3,71,252,402.3,22,92.7,210.7,272.7,186.4,67,316.2
Bowling Green(1),76.3,–,2.9,13,13.7,–,–,9,10.9,8.8,–,12.5
Elizabethtown-Fort Knox(1),55.9,–,1.8,8.2,9.2,–,–,5.9,4.7,5.4,–,15.3
Lexington-Fayette(1),275.1,–,13.1,31.1,52.4,2.7,9.8,39.2,35.3,29.9,9.5,52.1
Louisville/Jefferson County(1),660.8,–,27.6,81.5,149,9.4,46.3,84.9,93.1,67,27.6,74.4
Owensboro(1),54,–,2.7,9.4,10.3,0.3,3.7,4.5,9.5,5,1.7,6.9
,,,,,,,,,,,,
Louisiana,1966.2,33.7,144.3,135.3,375,22.8,90.2,210.5,317.5,234.1,74.6,328.2
Alexandria(2),61.9,–,–,–,11.2,–,–,–,–,–,–,13.5
Baton Rouge,406,0.9,47.2,28.9,69.7,5.2,19.1,46.8,54.3,41.5,16.7,75.7
Hammond(2),46.6,–,–,–,–,–,–,–,–,–,–,11.9
Houma-Thibodaux(2),86.1,5.2,4.6,–,22.3,–,–,–,–,7.8,–,12.4
Lafayette,199.3,13.4,9.8,15.4,42,2.5,10.4,18.8,31.5,21.3,7,27.2
Lake Charles,117.7,0.3,27.3,10.5,18.1,–,–,10.2,–,15.4,–,15.4
Monroe(2),78.2,–,–,6.4,13.9,–,–,8.4,15.9,8,–,11.3
New Orleans-Metairie,573,4.2,29.6,31,111.9,7.1,29,73.9,101.4,88,24.2,72.7
Shreveport-Bossier City,179.6,4.1,8.5,10.3,36.1,1.9,7.5,18.1,33.6,23.1,6.5,29.9
,,,,,,,,,,,,
Maine,605,2.3,25,50.4,116.4,7.2,30.9,65.7,129.5,55,21.3,101.3
Bangor,65.2,0.2,2.7,2.1,13.4,0.7,2.2,6.3,16.2,6.2,2.2,13
Lewiston-Auburn(1),49.8,–,2.3,5.3,10.1,0.4,2.2,6.5,12.4,3.3,1.6,5.7
Portland-South Portland(1),201.1,–,8.4,13.4,38.4,3.1,16,27.6,44.2,18.7,7.6,23.7
,,,,,,,,,,,,
Maryland,2688.3,1.2,158.8,107.9,459.7,36,143.6,436.5,471.3,252,112,509.3
Baltimore-Columbia-Towson(1),1389.7,–,77.4,55.7,243,17,80.9,229,281,127.5,49.9,228.3
California-Lexington Park(2),44.8,–,–,–,–,–,–,–,–,–,–,14.6
Cumberland(2),38.9,–,–,–,–,–,–,–,–,–,–,8.1
Hagerstown-Martinsburg(1),103.8,–,3.9,8,26.6,1.9,6.8,9.5,16.2,9.6,3.6,17.7
,,,,,,,,,,,,
Massachusetts,3561.7,1,146.2,245.1,564.9,89.4,219.6,559,801,339.9,135.6,460
Barnstable Town(1),96.3,–,6.2,3.2,20,1.5,3.7,7.8,20,14,4.5,15.4
Boston-Cambridge-Nashua(1),2706,–,107.5,187,412.6,79.1,182.2,481.8,587.6,253.3,101.2,313.7
Leominster-Gardner(1),52.5,–,1.9,6.7,10.5,0.4,1.6,4.2,11,5.5,1.7,9
New Bedford(1),66.9,–,2.3,7.5,11.6,0.3,1.8,5.7,17.6,6.7,2.5,10.9
Pittsfield(1),40.1,–,1.9,3.2,6.8,0.5,1.9,4.4,9.3,5,1.7,5.4
Springfield(1),333.1,–,10.4,28.8,60.2,3.2,16.3,26.6,83.7,28.3,12.7,62.9
Worcester(1),286.4,–,10.4,27.8,52.5,3.7,14.7,29.7,68.4,24.1,10.7,44.4
,,,,,,,,,,,,
Michigan,4348.5,7,153.2,614.6,774.4,55,216.2,648.4,676,417.2,169.5,617
Ann Arbor(1),222.7,–,4.1,14.9,25.3,5.1,7.1,29.6,27.8,17.2,6.3,85.3
Battle Creek(1),57.7,–,1.2,12.4,9.1,–,1.2,6.2,10.9,4.2,1.9,10.6
Bay City(1),35.2,–,0.9,4.5,7.5,0.5,1.3,2.6,6.6,4.3,1.4,5.6
Detroit-Warren-Dearborn(1),1988.3,–,66.5,251.1,366.6,26.6,114.5,389.4,312.1,198.4,75.1,188
Flint(1),139.1,–,5,12.4,29,3.9,6,15.3,28.5,14.8,5.3,18.9
Grand Rapids-Wyoming(1),556.5,–,22.9,115.9,94.4,5.4,26.1,80,92.9,47.7,22.3,48.9
Jackson(1),58,–,1.7,10.2,12.4,0.3,2,5,10.9,5.2,2.5,7.8
Kalamazoo-Portage(1),147.8,–,6.4,21.4,26.6,0.8,8.3,17.4,24.2,15.3,5.2,22.2
Lansing-East Lansing(1),238.2,–,6.8,20.5,38,2.6,16.5,23.7,32.5,18.6,10,69
Midland(2),36.5,–,–,–,–,–,–,–,–,–,–,3
Monroe(1),42,–,1.8,5.5,11,–,0.9,5.4,5.1,4.5,1.5,5.6
Muskegon(1),63.5,–,2,13.8,13.1,0.8,1.7,3.7,12,6.9,2.1,7.4
Niles-Benton Harbor(1),61.1,–,1.7,13.6,10.6,0.5,2.5,4.9,9.5,6.4,2.3,9.1
Saginaw(1),86.6,–,2.6,12.4,16.2,1.2,3.7,11.3,16.1,8.5,3.3,11.3
,,,,,,,,,,,,
Minnesota,2895.9,6.2,105.8,314.1,531.2,49,177,364.9,540,256.2,115,436.5
Duluth(1),136.9,–,8.3,7.6,24.6,1.3,5.9,7.9,33,13.4,6.6,28.3
Mankato-North Mankato(2),58.7,–,–,–,–,–,–,–,–,–,–,9.9
Minneapolis-St. Paul-Bloomington(1),1966.4,–,70.4,193.6,358.2,37.1,144.2,311.7,333.7,178.8,81.4,257.3
Rochester(1),117.4,–,4,10.2,17.6,1.9,2.8,5.2,48.1,10.5,4,13.1
St. Cloud(1),109,–,5.6,15.4,21.6,1.5,5.3,8.8,22.6,8.6,3.9,15.7
,,,,,,,,,,,,
Mississippi,1158,6.6,44.3,144.8,229.4,11.3,45.1,111.8,147.2,133,40.3,244.2
Gulfport-Biloxi-Pascagoula(1),154.1,–,7.8,17.9,24.4,1.4,5.3,15.9,13.2,29.4,5.1,33.7
Hattiesburg(2),65.8,–,–,4.5,14.1,–,–,–,–,7.9,–,14.2
